firm,ticker,date,t_sub,direction,size,fill_price,pnl_1ms,pnl_10ms,pnl_50ms,pnl_100ms,pnl_250ms,pnl_500ms,pnl_1s,pnl_2s,pnl_5s,pnl_10s,pnl_30s,pnl_1min,pnl_5min,pnl_30min
UBSS,KTOS,2026-02-27,34200.490981204,ask,25,86.0,14.0,12.5,12.5,12.5,12.5,12.5,12.5,20.75,2.75,-4.75,2.5,11.0,24.25,27.5
UBSS,KTOS,2026-02-27,34201.322718718,bid,177,85.0,64.605,64.605,64.605,64.605,69.03,94.695,31.86,14.16,200.01,173.46,166.38,70.8,51.33,-17.7
UBSS,KTOS,2026-02-27,34201.322718718,bid,50,85.0,18.25,18.25,18.25,18.25,19.5,26.75,9.0,4.0,56.5,49.0,47.0,20.0,14.5,-5.0
UBSS,KTOS,2026-02-27,34201.322718718,bid,1,85.0,0.365,0.365,0.365,0.365,0.39,0.535,0.18,0.08,1.13,0.98,0.94,0.4,0.29,-0.1
UBSS,KTOS,2026-02-27,34204.520664615,bid,32,84.97,15.68,15.68,15.68,18.24,18.24,18.24,29.44,37.76,34.88,32.96,29.44,9.92,6.4,-1.6
UBSS,KTOS,2026-02-27,34204.520664615,bid,5,84.88000000000001,2.9,2.9,2.9,3.3,3.3,3.3,5.05,6.35,5.9,5.6,5.05,2.0,1.45,0.2
UBSS,KTOS,2026-02-27,34204.520664615,bid,10,84.8,6.6,6.6,6.6,7.4,7.4,7.4,10.9,13.5,12.6,12.0,10.9,4.8,3.7,1.2
UBSS,KTOS,2026-03-02,34204.68570112,bid,137,90.0,27.4,27.4,27.4,27.4,27.4,19.18,16.44,-1.37,90.42,117.82,73.98,-5.48,417.85,600.06
UBSS,KTOS,2026-03-02,34204.68570112,bid,5,90.0,1.0,1.0,1.0,1.0,1.0,0.7,0.6,-0.05,3.3,4.3,2.7,-0.2,15.25,21.9
UBSS,KTOS,2026-03-02,34204.68570112,bid,300,90.0,60.0,60.0,60.0,60.0,60.0,42.0,36.0,-3.0,198.0,258.0,162.0,-12.0,915.0,1314.0
UBSS,KTOS,2026-03-02,57266.509980109,ask,100,91.06,12.0,12.0,12.0,12.0,12.0,12.0,12.0,9.0,7.0,6.0,37.0,-2.0,32.0,6.0
UBSS,KTOS,2026-03-02,57490.027100725,bid,6,90.75,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.66,0.9,0.18,0.06,-0.18,1.5
UBSS,KTOS,2026-03-02,57496.80178544,ask,500,90.9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,25.0,25.0,50.0,75.0,160.0,-50.0
UBSS,KTOS,2026-03-03,34201.440476096,bid,12,89.25,0.96,0.96,1.32,0.0,0.0,-1.8,-1.32,1.44,0.0,9.36,9.96,13.56,1.8,-0.36
UBSS,KTOS,2026-03-03,34201.440476096,ask,100,90.5,80.0,80.0,80.0,124.0,124.0,119.0,98.0,119.0,100.0,41.0,13.0,23.0,123.0,101.0
UBSS,KTOS,2026-03-03,34201.440476096,bid,4,88.8,2.12,2.12,2.24,1.8,1.8,1.2,1.36,2.28,1.8,4.92,5.12,6.32,2.4,1.68
UBSS,KTOS,2026-03-03,56958.039249723,bid,720,88.9,792.0,792.0,792.0,792.0,784.8,784.8,784.8,784.8,820.8,820.8,828.0,828.0,302.4,-115.2
UBSS,KTOS,2026-03-03,56958.039266512,bid,1,88.88000000000001,1.12,1.12,1.12,1.12,1.11,1.11,1.11,1.11,1.16,1.16,1.17,1.17,0.44,-0.14
UBSS,KTOS,2026-03-03,57216.353744906,bid,50,89.33,0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.5,0.5,-17.5,-29.5
UBSS,KTOS,2026-03-04,34200.466449841,ask,3,88.62,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,-1.32,-2.37,-1.83,-0.99,3.66
UBSS,KTOS,2026-03-04,34200.466449841,bid,12,88.5,0.12,0.12,-0.36,-0.36,-0.36,-0.48,-0.48,-1.56,-0.6,5.16,12.0,8.52,6.48,-15.54
UBSS,KTOS,2026-03-04,34200.466449841,ask,3,89.0,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,-0.18,-1.23,-0.69,0.15,4.8
UBSS,KTOS,2026-03-05,34200.946138051,bid,120,89.0,1.2,-14.4,-14.4,-24.0,-27.0,-33.6,-33.6,-33.6,-72.0,-135.6,-150.0,-28.8,-38.4,-229.2
UBSS,KTOS,2026-03-05,57546.649453527,bid,10,85.47,0.1,0.1,0.1,0.1,0.1,0.1,0.3,-0.1,0.0,-0.15,0.0,-3.7,-2.5,-3.8
UBSS,KTOS,2026-03-06,34201.359287171,bid,3,83.0,1.335,0.75,0.75,0.75,0.75,0.51,0.0,-0.42,-0.54,0.36,0.36,0.18,0.96,7.32
UBSS,KTOS,2026-03-06,34204.624341164,bid,2,82.7,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.76,0.84,0.84,0.92,0.89,5.14
UBSS,KTOS,2026-03-06,34207.831297456,bid,2,82.4,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.36,1.44,1.44,1.44,1.52,1.44,6.38
UBSS,KTOS,2026-03-06,34207.831297456,bid,2,82.25,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.66,1.74,1.74,1.74,1.82,1.74,6.68
UBSS,KTOS,2026-03-06,34214.861774394,bid,6,82.0,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,5.34,6.96,6.3,22.08
UBSS,KTOS,2026-03-06,34214.861774394,bid,609,82.0,682.08,682.08,682.08,682.08,682.08,682.08,682.08,682.08,682.08,682.08,542.01,706.44,639.45,2241.12
UBSS,KTOS,2026-03-06,34214.861774394,bid,5,82.0,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,4.45,5.8,5.25,18.4
UBSS,KTOS,2026-03-06,34214.861774394,bid,3,82.0,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,2.67,3.48,3.15,11.04
UBSS,KTOS,2026-03-06,57536.160741148,bid,10,86.97,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.4,-0.3,0.05,0.5,-1.0
UBSS,KTOS,2026-03-09,34200.225115142,bid,9,87.5,2.97,2.79,2.79,8.91,1.53,1.53,0.0,1.62,-1.17,3.69,9.18,17.19,10.44,22.68
UBSS,KTOS,2026-03-09,57404.860736121,bid,110,92.5,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,17.05,14.3,12.1,6.6,3.3,-33.0
UBSS,KTOS,2026-03-09,57512.542288081,bid,126,92.48,8.82,8.82,8.82,8.82,8.82,8.82,8.82,11.97,8.19,12.6,6.93,-6.3,6.3,-32.76
UBSS,KTOS,2026-03-10,34200.409104897,bid,14,91.0,6.02,6.86,6.86,6.86,6.86,6.86,6.86,11.62,14.84,11.2,10.64,8.82,-6.72,-3.64
UBSS,KTOS,2026-03-10,34200.409104897,ask,12,92.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.68,1.68,4.92,4.92,7.2,18.0,21.48
UBSS,KTOS,2026-03-10,34200.409104897,bid,5,91.0,2.15,2.45,2.45,2.45,2.45,2.45,2.45,4.15,5.3,4.0,3.8,3.15,-2.4,-1.3
UBSS,KTOS,2026-03-10,57234.912425105,bid,21,89.0,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,-2.52,0.21,-1.68,3.36
UBSS,KTOS,2026-03-11,34200.238810917,bid,24,87.0,13.2,13.2,2.4,1.68,0.24,0.24,5.76,2.4,6.0,0.48,8.52,16.56,6.6,15.36
UBSS,KTOS,2026-03-11,34200.238810917,bid,2,87.0,1.1,1.1,0.2,0.14,0.02,0.02,0.48,0.2,0.5,0.04,0.71,1.38,0.55,1.28
UBSS,KTOS,2026-03-12,34203.297755055,bid,175,87.60000000000001,192.5,192.5,192.5,192.5,192.5,192.5,147.0,147.0,-17.5,-47.25,-64.75,-38.5,82.25,-171.5
UBSS,KTOS,2026-03-12,34206.742171994,bid,13,87.0,18.72,18.72,18.72,18.72,11.05,6.5,6.5,6.5,6.5,2.73,2.275,3.51,16.38,-4.42
UBSS,KTOS,2026-03-12,34206.742171994,bid,20,87.0,28.8,28.8,28.8,28.8,17.0,10.0,10.0,10.0,10.0,4.2,3.5,5.4,25.2,-6.8
UBSS,KTOS,2026-03-13,34200.967560725,bid,15,89.9,-1.2,-1.2,-1.2,-1.2,4.8,4.8,4.8,4.8,7.05,10.05,13.8,10.05,14.4,1.95
UBSS,KTOS,2026-03-16,34200.67161005,ask,132,89.0,13.2,13.2,-6.6,-33.0,-66.0,-66.0,-66.0,-66.0,-150.48,-171.6,-198.0,-190.08,-253.44,-143.88
UBSS,KTOS,2026-03-16,34200.67161005,ask,20,90.0,22.0,22.0,19.0,15.0,10.0,10.0,10.0,10.0,-2.8,-6.0,-10.0,-8.8,-18.4,-1.8
UBSS,KTOS,2026-03-16,34200.67161005,ask,2,90.4,3.0,3.0,2.7,2.3,1.8,1.8,1.8,1.8,0.52,0.2,-0.2,-0.08,-1.04,0.62
UBSS,KTOS,2026-03-16,56966.025698249,bid,100,89.48,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,5.0,-8.0,0.0,2.0
UBSS,KTOS,2026-03-17,34200.863311779,bid,5,90.5,0.2,0.2,1.45,1.45,1.45,1.45,1.45,1.45,7.225,8.25,10.85,11.4,6.5,10.55
UBSS,KTOS,2026-03-17,56965.035793089,ask,20,95.0,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.8,6.2,-2.4,-12.0
UBSS,KTOS,2026-03-17,56965.036013421,ask,2,95.2,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.98,1.02,0.16,-0.8
UBSS,KTOS,2026-03-17,56965.036027725,ask,100,95.2,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,49.0,51.0,8.0,-40.0
UBSS,KTOS,2026-03-17,57064.720650554,ask,50,95.0,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,6.0,5.0,-3.5,-35.0
UBSS,KTOS,2026-03-17,57178.356999982,bid,10,94.92,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.5,1.6,2.1,7.8
UBSS,KTOS,2026-03-17,57505.098070181,ask,1,95.13000000000001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.02,-0.02,-0.02,-0.02,-0.08,-0.37,-0.28
UBSS,KTOS,2026-03-23,34200.66810161,bid,100,83.5,17.0,17.0,17.0,17.0,17.0,34.0,38.0,36.0,23.0,14.0,15.0,37.0,54.0,178.0
UBSS,KTOS,2026-03-23,56962.02110673,bid,6,84.29,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.33,0.33,0.12,-0.06,-1.8
UBSS,KTOS,2026-03-24,34200.592680553,bid,2,82.5,0.22,0.22,0.22,0.2,-0.04,-0.04,-0.04,-0.12,-0.5,-2.6,-2.3,-2.56,0.03,-3.34
UBSS,KTOS,2026-03-24,34200.592680553,bid,2,82.47,0.28,0.28,0.28,0.26,0.02,0.02,0.02,-0.06,-0.44,-2.54,-2.24,-2.5,0.09,-3.28
UBSS,KTOS,2026-03-24,34201.872318939,bid,13,82.0,6.24,6.24,6.24,6.24,5.2,5.72,5.2,3.25,-9.88,-10.53,-8.45,-10.14,6.695,-13.91
