feature,coef,z,p,ci_lo,ci_hi
const,11.99878,9.75124,0.0,9.58707,14.41049
oib_60s,-0.0,-0.0,1.0,-2.46207,2.46207
mom_1s,0.0,0.0,1.0,-4.94685,4.94685
mom_5s,0.0,0.0,1.0,-2.9534,2.9534
vol_30s,-0.0,-0.0,1.0,-2.8822,2.8822
spread_ticks,-0.0,-0.0,1.0,-2.82213,2.82213
queue_z,-0.0,-0.0,1.0,-2.64762,2.64762
size_z,-0.0,-0.0,1.0,-2.41453,2.41453
price_to_mid,0.0,0.0,1.0,-2.448,2.448
session_phase,0.0,0.0,1.0,-2.77062,2.77062
mom1_x_oib,0.0,0.0,1.0,-4.59762,4.59762
