date,firm,order_id,direction,size,sub_price,t_submit,t_terminal,term_type,hold_s,filled,mid_at_sub,price_to_mid_bps,mtm_pnl_at_deletion_usd,pnl_0.001s,pnl_0.01s,pnl_0.05s,pnl_0.1s,pnl_0.25s,pnl_0.5s,pnl_1s,pnl_2s,pnl_5s,pnl_10s,pnl_30s,pnl_60s,pnl_300s,pnl_1800s,pnl_EOD,nearest_event,nearest_event_dt_s,firm_name,firm_type,known_strategies,strategy_class,annotation_conf
2025-10-01,IMCC,51864321,ask,100,993.47,34202.863977,34310.802075,delete,107.938098,False,922.0,775.16,7452.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,51864329,ask,100,993.47,34202.864037,34310.802066,delete,107.938029,False,922.0,775.16,7452.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,59127549,ask,100,990.61,34310.802066,34360.004311,delete,49.202245,False,918.95,779.8,7139.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,59127565,ask,100,990.61,34310.802075,34360.004307,delete,49.202232,False,918.95,779.8,7139.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,59183113,bid,100,846.85,34311.63321,34524.31494,delete,212.68173,False,918.88,-783.89,6903.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,59183117,bid,100,846.85,34311.633212,34524.314917,delete,212.681705,False,918.88,-783.89,6903.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,62088325,ask,100,993.74,34360.004307,34391.716967,delete,31.71266,False,919.22,810.69,7426.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,62088329,ask,100,993.74,34360.004311,34391.716981,delete,31.71267,False,919.22,810.69,7426.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,63893773,ask,100,991.33,34391.716967,34472.516697,delete,80.79973,False,919.48,781.42,7437.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,63893777,ask,100,991.33,34391.716981,34472.516724,delete,80.799743,False,919.48,781.42,7437.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,68076173,ask,100,988.75,34472.516697,34559.58114,delete,87.064443,False,916.96,782.91,7224.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,68076201,ask,100,988.75,34472.516724,34559.581203,delete,87.064479,False,916.96,782.91,7224.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,71152573,bid,100,844.47,34524.314917,34559.581128,delete,35.266211,False,915.88,-779.69,7204.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,71152621,bid,100,844.47,34524.31494,34559.581193,delete,35.266253,False,915.88,-779.69,7204.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,73520065,bid,100,844.44,34559.58122,34666.120412,delete,106.539192,False,916.51,-786.35,7406.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,73520069,ask,100,987.54,34559.581234,34607.576007,delete,47.994773,False,916.51,775.01,6987.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,73520101,bid,100,844.44,34559.581297,34666.120419,delete,106.539122,False,916.51,-786.35,7406.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,73520113,ask,100,987.54,34559.581309,34607.576011,delete,47.994702,False,916.51,775.01,6987.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,76278729,ask,100,990.0,34607.576007,34677.320917,delete,69.74491,False,917.67,788.19,7377.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,76278741,ask,100,990.0,34607.576011,34677.320918,delete,69.744907,False,917.67,788.19,7377.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,79580945,bid,100,846.97,34666.120412,34677.321822,delete,11.20141,False,918.5,-778.77,6883.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,79580961,bid,100,846.97,34666.120419,34677.321831,delete,11.201412,False,918.5,-778.77,6883.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,80146765,ask,100,987.56,34677.320917,34965.589189,delete,288.268272,False,916.23,778.52,6989.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,80146769,ask,100,987.56,34677.320918,34965.589193,delete,288.268275,False,916.23,778.52,6989.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,80147453,bid,100,844.66,34677.321822,35547.99824,delete,870.676419,False,915.8,-776.81,6864.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,80147465,bid,100,844.66,34677.321831,35547.998247,delete,870.676416,False,915.8,-776.81,6864.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,94377637,ask,100,990.06,34965.589189,35032.628582,delete,67.039393,False,917.67,788.85,7396.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,94377641,ask,100,990.06,34965.589193,35032.628595,delete,67.039402,False,917.67,788.85,7396.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,97605873,ask,100,987.68,35032.628582,35421.353668,delete,388.725086,False,916.1,781.36,7358.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,97605889,ask,100,987.68,35032.628595,35421.353664,delete,388.725069,False,916.1,781.36,7358.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,117177901,ask,100,985.36,35421.353664,36043.532421,delete,622.178757,False,914.1,779.56,7386.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,117177905,ask,100,985.36,35421.353668,36043.532414,delete,622.178746,False,914.1,779.56,7386.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,123708249,bid,100,842.31,35547.99824,38522.950426,delete,2974.952185,False,913.3,-777.29,7368.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,123708257,bid,100,842.31,35547.998247,38531.964421,delete,2983.966174,False,913.3,-777.29,7372.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,145799309,ask,100,982.98,36043.532414,36606.29282,delete,562.760406,False,911.5,784.2,6862.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,145799313,ask,100,982.98,36043.532421,36606.292822,delete,562.760401,False,911.5,784.2,6862.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,172323073,ask,100,985.44,36606.29282,38005.28728,delete,1398.99446,False,914.36,777.37,7328.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,172323077,ask,100,985.44,36606.292822,38005.287278,delete,1398.994457,False,914.36,777.37,7328.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,225848881,ask,100,982.96,38005.287278,38266.630594,delete,261.343316,False,912.16,776.18,6874.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,225848889,ask,100,982.96,38005.28728,38266.63058,delete,261.3433,False,912.16,776.18,6874.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,235299693,ask,100,985.3,38266.63058,38522.95217,delete,256.321589,False,914.22,777.49,6930.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,235299733,ask,100,985.3,38266.630594,38522.952188,delete,256.321594,False,914.22,777.49,6930.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,244800725,bid,100,844.7,38522.950426,40745.397847,delete,2222.447422,False,915.99,-778.28,7378.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,244800973,ask,100,987.94,38522.95217,38583.347984,delete,60.395815,False,916.0,785.37,7332.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,244800985,ask,100,987.94,38522.952188,38583.348709,delete,60.396521,False,916.0,785.37,7332.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,245143481,bid,100,844.73,38531.964421,40745.397846,delete,2213.433425,False,916.03,-778.36,7375.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,246810221,ask,100,985.5,38583.347984,40040.46414,delete,1457.116156,False,914.62,774.97,6887.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,246810817,ask,100,985.5,38583.348709,40040.464147,delete,1457.115438,False,914.62,774.97,6887.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,297560185,ask,100,988.03,40040.46414,42645.462361,delete,2604.99822,False,916.63,778.94,7343.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,297560189,ask,100,988.03,40040.464147,42645.462362,delete,2604.998215,False,916.63,778.94,7343.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
2025-10-01,IMCC,319315069,bid,100,847.08,40745.397846,41297.857096,delete,552.459249,False,918.48,-777.37,6875.0,,,,,,,,,,,,,,,,,,IM Cannabis Corp. (IMC),unknown,[],?,?
