k,inertia,silhouette,davies_bouldin
2,446080.62196846405,0.1779,2.1106
3,403536.05619715404,0.1655,2.0478
4,370624.7273510076,0.1847,1.7643
5,346784.0668609251,0.1867,1.5852
6,332539.01309368375,0.1557,1.8366
7,313145.8468182852,0.1509,1.72
8,296057.31689032563,0.1633,1.6071
