date,firm,minute_bin,n_orders,total_size
2025-10-01,JPMS,628,33,3300
2025-10-01,JPMS,629,41,4100
2025-10-01,JPMS,630,20,2000
2025-10-01,JPMS,631,21,2100
2025-10-01,JPMS,632,50,5000
2025-10-01,JPMS,633,62,6200
2025-10-01,JPMS,634,16,1600
2025-10-01,JPMS,635,47,4700
2025-10-01,JPMS,636,19,1900
2025-10-01,JPMS,637,24,2400
2025-10-01,JPMS,638,28,2800
2025-10-01,JPMS,639,28,2800
2025-10-01,JPMS,640,23,2300
2025-10-01,JPMS,641,37,3700
2025-10-01,JPMS,642,68,6800
2025-10-01,JPMS,643,25,2500
2025-10-01,JPMS,644,3,300
2025-10-01,JPMS,645,14,1400
2025-10-01,JPMS,646,24,2400
2025-10-01,JPMS,647,32,3200
2025-10-01,JPMS,648,7,700
2025-10-01,JPMS,649,24,2400
2025-10-01,JPMS,650,3,300
2025-10-01,JPMS,651,28,2800
2025-10-01,JPMS,652,9,900
2025-10-01,JPMS,653,21,2100
2025-10-01,JPMS,654,13,1300
2025-10-01,JPMS,655,4,400
2025-10-01,JPMS,656,5,500
2025-10-01,JPMS,657,35,3500
2025-10-01,JPMS,658,16,1600
2025-10-01,JPMS,659,64,6400
2025-10-01,JPMS,660,25,2500
2025-10-01,JPMS,661,39,3900
2025-10-01,JPMS,662,17,1700
2025-10-01,JPMS,663,33,3300
2025-10-01,JPMS,664,45,4500
2025-10-01,JPMS,665,39,3900
2025-10-01,JPMS,666,25,2500
2025-10-01,JPMS,667,31,3100
2025-10-01,JPMS,668,35,3500
2025-10-01,JPMS,669,104,10400
2025-10-01,JPMS,670,21,2100
2025-10-01,JPMS,671,25,2500
2025-10-01,JPMS,672,9,900
2025-10-01,JPMS,673,10,1000
2025-10-01,JPMS,674,36,3600
2025-10-01,JPMS,675,1,100
2025-10-01,JPMS,676,14,1400
2025-10-01,JPMS,677,42,4200
2025-10-01,JPMS,678,20,2000
2025-10-01,JPMS,679,25,2500
2025-10-01,JPMS,680,14,1400
2025-10-01,JPMS,681,12,1200
2025-10-01,JPMS,682,43,4300
2025-10-01,JPMS,683,12,1200
2025-10-01,JPMS,684,23,2300
2025-10-01,JPMS,685,15,1500
2025-10-01,JPMS,686,22,2200
2025-10-01,JPMS,687,31,3100
2025-10-01,JPMS,688,16,1600
2025-10-01,JPMS,689,13,1300
2025-10-01,JPMS,690,11,1100
2025-10-01,JPMS,691,25,2500
2025-10-01,JPMS,692,27,2700
2025-10-01,JPMS,693,10,1000
2025-10-01,JPMS,694,38,3800
2025-10-01,JPMS,695,13,1300
2025-10-01,JPMS,696,40,4000
2025-10-01,JPMS,697,6,600
2025-10-01,JPMS,699,7,700
2025-10-01,JPMS,700,58,5800
2025-10-01,JPMS,701,7,700
2025-10-01,JPMS,702,14,1400
2025-10-01,JPMS,703,12,1200
2025-10-01,JPMS,704,6,600
2025-10-01,JPMS,705,17,1700
2025-10-01,JPMS,706,33,3300
2025-10-01,JPMS,707,23,2300
2025-10-01,JPMS,708,18,1800
2025-10-01,JPMS,709,18,1800
2025-10-01,JPMS,710,23,2300
2025-10-01,JPMS,711,32,3200
2025-10-01,JPMS,712,25,2500
2025-10-01,JPMS,713,27,2700
2025-10-01,JPMS,714,26,2600
2025-10-01,JPMS,715,24,2400
2025-10-01,JPMS,716,27,2700
2025-10-01,JPMS,717,57,5700
2025-10-01,JPMS,718,51,5100
2025-10-01,JPMS,719,28,2800
2025-10-01,JPMS,720,22,2200
2025-10-01,JPMS,721,66,6600
2025-10-01,JPMS,722,20,2000
2025-10-01,JPMS,723,38,3800
2025-10-01,JPMS,724,14,1400
2025-10-01,JPMS,725,24,2400
2025-10-01,JPMS,726,26,2600
2025-10-01,JPMS,727,52,5200
2025-10-01,JPMS,728,49,4900
2025-10-01,JPMS,729,55,5500
2025-10-01,JPMS,730,31,3100
2025-10-01,JPMS,731,19,1900
2025-10-01,JPMS,732,31,3100
2025-10-01,JPMS,733,39,3900
2025-10-01,JPMS,734,51,5100
2025-10-01,JPMS,735,63,6300
2025-10-01,JPMS,736,23,2300
2025-10-01,JPMS,737,14,1400
2025-10-01,JPMS,738,7,700
2025-10-01,JPMS,739,34,3400
2025-10-01,JPMS,740,40,4000
2025-10-01,JPMS,741,9,900
2025-10-01,JPMS,742,45,4500
2025-10-01,JPMS,743,58,5800
2025-10-01,JPMS,744,66,6600
2025-10-01,JPMS,745,83,8300
2025-10-01,JPMS,746,43,4300
2025-10-01,JPMS,747,71,7100
2025-10-01,JPMS,748,42,4200
2025-10-01,JPMS,749,58,5800
2025-10-01,JPMS,750,60,6000
2025-10-01,JPMS,751,33,3300
2025-10-01,JPMS,752,34,3400
2025-10-01,JPMS,753,38,3800
2025-10-01,JPMS,754,25,2500
2025-10-01,JPMS,755,34,3400
2025-10-01,JPMS,756,14,1400
2025-10-01,JPMS,757,7,700
2025-10-01,JPMS,758,26,2600
2025-10-01,JPMS,759,31,3100
2025-10-01,JPMS,760,21,2100
2025-10-01,JPMS,761,30,3000
2025-10-01,JPMS,762,7,700
2025-10-01,JPMS,763,7,700
2025-10-01,JPMS,764,9,900
2025-10-01,JPMS,765,9,900
2025-10-01,JPMS,766,6,600
2025-10-01,JPMS,767,50,5000
2025-10-01,JPMS,768,50,5000
2025-10-01,JPMS,769,35,3500
2025-10-01,JPMS,770,7,700
2025-10-01,JPMS,771,14,1400
2025-10-01,JPMS,772,98,9800
2025-10-01,JPMS,773,48,4800
2025-10-01,JPMS,774,16,1600
2025-10-01,JPMS,775,25,2500
2025-10-01,JPMS,776,52,5200
2025-10-01,JPMS,777,28,2800
2025-10-01,JPMS,778,2,200
2025-10-01,JPMS,779,3,300
2025-10-01,JPMS,780,12,1200
2025-10-01,JPMS,781,9,900
2025-10-01,JPMS,782,16,1600
2025-10-01,JPMS,783,19,1900
2025-10-01,JPMS,784,8,800
2025-10-01,JPMS,785,2,200
2025-10-01,JPMS,787,12,1200
2025-10-01,JPMS,788,23,2300
2025-10-01,JPMS,789,11,1100
2025-10-01,JPMS,790,46,4600
2025-10-01,JPMS,791,15,1500
2025-10-01,JPMS,792,20,2000
2025-10-01,JPMS,793,52,5200
2025-10-01,JPMS,794,25,2500
2025-10-01,JPMS,795,10,1000
2025-10-01,JPMS,796,2,200
2025-10-01,JPMS,797,28,2800
2025-10-01,JPMS,798,15,1500
2025-10-01,JPMS,799,6,600
2025-10-01,JPMS,800,6,600
2025-10-01,JPMS,801,6,600
2025-10-01,JPMS,802,37,3700
2025-10-01,JPMS,803,16,1600
2025-10-01,JPMS,804,9,900
2025-10-01,JPMS,805,10,1000
2025-10-01,JPMS,806,30,3000
2025-10-01,JPMS,808,14,1400
2025-10-01,JPMS,809,27,2700
2025-10-01,JPMS,810,32,3200
2025-10-01,JPMS,811,32,3200
2025-10-01,JPMS,812,24,2400
2025-10-01,JPMS,813,29,2900
2025-10-01,JPMS,814,55,5500
2025-10-01,JPMS,815,54,5400
2025-10-01,JPMS,816,33,3300
2025-10-01,JPMS,817,107,10700
2025-10-01,JPMS,818,57,5700
2025-10-01,JPMS,819,12,1200
2025-10-01,JPMS,820,49,4900
2025-10-01,JPMS,821,53,5300
2025-10-01,JPMS,822,54,5400
2025-10-01,JPMS,823,67,6700
2025-10-01,JPMS,824,38,3800
2025-10-01,JPMS,825,11,1100
2025-10-01,JPMS,826,19,1900
2025-10-01,JPMS,827,25,2500
2025-10-01,JPMS,828,4,400
2025-10-01,JPMS,829,13,1300
2025-10-01,JPMS,830,9,900
2025-10-01,JPMS,831,9,900
2025-10-01,JPMS,832,9,900
2025-10-01,JPMS,833,5,500
2025-10-01,JPMS,834,13,1300
2025-10-01,JPMS,835,12,1200
2025-10-01,JPMS,836,21,2100
2025-10-01,JPMS,837,9,900
2025-10-01,JPMS,838,24,2400
2025-10-01,JPMS,839,15,1500
2025-10-01,JPMS,840,9,900
2025-10-01,JPMS,841,35,3500
2025-10-01,JPMS,842,37,3700
2025-10-01,JPMS,843,16,1600
2025-10-01,JPMS,844,58,5800
2025-10-01,JPMS,845,41,4100
2025-10-01,JPMS,846,20,2000
2025-10-01,JPMS,847,8,800
2025-10-01,JPMS,848,2,200
2025-10-01,JPMS,849,5,500
2025-10-01,JPMS,850,9,900
2025-10-01,JPMS,851,7,700
2025-10-01,JPMS,852,8,800
2025-10-01,JPMS,853,32,3200
2025-10-01,JPMS,854,34,3400
2025-10-01,JPMS,855,9,900
2025-10-01,JPMS,856,19,1900
2025-10-01,JPMS,857,37,3700
2025-10-01,JPMS,858,5,500
2025-10-01,JPMS,859,16,1600
2025-10-01,JPMS,860,66,6600
2025-10-01,JPMS,861,6,600
2025-10-01,JPMS,862,32,3200
2025-10-01,JPMS,863,9,900
2025-10-01,JPMS,864,44,4400
2025-10-01,JPMS,865,4,400
2025-10-01,JPMS,866,34,3400
2025-10-01,JPMS,867,38,3800
2025-10-01,JPMS,868,11,1100
2025-10-01,JPMS,869,23,2300
2025-10-01,JPMS,870,5,500
2025-10-01,JPMS,871,67,6700
2025-10-01,JPMS,872,59,5900
2025-10-01,JPMS,873,19,1900
2025-10-01,JPMS,874,15,1500
2025-10-01,JPMS,875,9,900
2025-10-01,JPMS,876,13,1300
2025-10-01,JPMS,877,2,200
2025-10-01,JPMS,879,46,4600
2025-10-01,JPMS,880,2,200
2025-10-01,JPMS,881,12,1200
2025-10-01,JPMS,882,14,1400
2025-10-01,JPMS,883,2,200
2025-10-01,JPMS,884,8,800
2025-10-01,JPMS,885,32,3200
2025-10-01,JPMS,886,20,2000
2025-10-01,JPMS,887,21,2100
2025-10-01,JPMS,888,4,400
2025-10-01,JPMS,889,19,1900
2025-10-01,JPMS,890,23,2300
2025-10-01,JPMS,891,17,1700
2025-10-01,JPMS,892,12,1200
2025-10-01,JPMS,893,16,1600
2025-10-01,JPMS,894,2,200
2025-10-01,JPMS,895,30,3000
2025-10-01,JPMS,896,15,1500
2025-10-01,JPMS,897,12,1200
2025-10-01,JPMS,898,8,800
2025-10-01,JPMS,899,13,1300
2025-10-01,JPMS,900,53,5300
2025-10-01,JPMS,901,11,1100
2025-10-01,JPMS,902,76,7600
2025-10-01,JPMS,903,25,2500
2025-10-01,JPMS,904,24,2400
2025-10-01,JPMS,905,10,1000
2025-10-01,JPMS,906,3,300
2025-10-01,JPMS,907,6,600
2025-10-01,JPMS,908,15,1500
2025-10-01,JPMS,909,3,300
2025-10-01,JPMS,910,7,700
2025-10-01,JPMS,911,45,4500
2025-10-01,JPMS,912,6,600
2025-10-01,JPMS,913,19,1900
2025-10-01,JPMS,914,35,3500
2025-10-01,JPMS,915,34,3400
2025-10-01,JPMS,916,20,2000
2025-10-01,JPMS,917,38,3800
2025-10-01,JPMS,918,15,1500
2025-10-01,JPMS,919,10,1000
2025-10-01,JPMS,920,14,1400
2025-10-01,JPMS,921,35,3500
2025-10-01,JPMS,922,9,900
2025-10-01,JPMS,923,56,5600
2025-10-01,JPMS,924,21,2100
2025-10-01,JPMS,925,30,3000
2025-10-01,JPMS,926,7,700
2025-10-01,JPMS,927,25,2500
2025-10-01,JPMS,928,49,4900
2025-10-01,JPMS,929,30,3000
2025-10-01,JPMS,930,40,4000
2025-10-01,JPMS,931,11,1100
2025-10-01,JPMS,932,14,1400
2025-10-01,JPMS,933,19,1900
2025-10-01,JPMS,934,14,1400
2025-10-01,JPMS,935,20,2000
2025-10-01,JPMS,936,26,2600
2025-10-01,JPMS,937,40,4000
2025-10-01,JPMS,938,24,2400
2025-10-01,JPMS,939,36,3600
2025-10-01,JPMS,940,43,4300
2025-10-01,JPMS,941,26,2600
2025-10-01,JPMS,942,23,2300
2025-10-01,JPMS,943,20,2000
2025-10-01,JPMS,944,83,8300
2025-10-01,JPMS,945,20,2000
2025-10-01,JPMS,946,63,6300
2025-10-01,JPMS,947,64,6400
2025-10-01,JPMS,948,17,1700
2025-10-01,JPMS,949,30,3000
2025-10-01,JPMS,950,24,2400
2025-10-01,JPMS,951,109,10900
2025-10-01,JPMS,952,826,82600
2025-10-01,JPMS,953,68,6800
2025-10-01,JPMS,954,102,10200
2025-10-01,JPMS,955,90,9000
2025-10-01,JPMS,956,56,5600
2025-10-01,JPMS,957,60,6000
2025-10-01,JPMS,958,131,13100
2025-10-01,JPMS,959,76,7600
2025-10-01,MAXM,570,82,8200
2025-10-01,MAXM,571,76,7600
2025-10-01,MAXM,572,22,2200
2025-10-01,MAXM,573,27,2700
2025-10-01,MAXM,574,26,2600
2025-10-01,MAXM,575,70,7000
2025-10-01,MAXM,576,24,2400
2025-10-01,MAXM,577,86,8600
2025-10-01,MAXM,578,55,5500
2025-10-01,MAXM,579,30,3000
2025-10-01,MAXM,580,30,3000
2025-10-01,MAXM,581,52,5200
2025-10-01,MAXM,582,59,5900
2025-10-01,MAXM,583,55,5500
2025-10-01,MAXM,584,23,2300
2025-10-01,MAXM,585,86,8600
2025-10-01,MAXM,586,45,4500
2025-10-01,MAXM,587,58,5800
2025-10-01,MAXM,588,16,1600
2025-10-01,MAXM,589,38,3800
2025-10-01,MAXM,590,68,6800
2025-10-01,MAXM,591,13,1300
2025-10-01,MAXM,592,47,4700
2025-10-01,MAXM,593,28,2800
2025-10-01,MAXM,594,48,4800
2025-10-01,MAXM,595,34,3400
2025-10-01,MAXM,596,21,2100
2025-10-01,MAXM,597,26,2600
2025-10-01,MAXM,598,46,4600
2025-10-01,MAXM,599,33,3300
2025-10-01,MAXM,600,16,1600
2025-10-01,MAXM,601,50,5000
2025-10-01,MAXM,602,25,2500
2025-10-01,MAXM,603,17,1700
2025-10-01,MAXM,604,32,3200
2025-10-01,MAXM,605,60,6000
2025-10-01,MAXM,606,10,1000
2025-10-01,MAXM,607,1,100
2025-10-01,MAXM,608,16,1600
2025-10-01,MAXM,609,15,1500
2025-10-01,MAXM,610,28,2800
2025-10-01,MAXM,611,9,900
2025-10-01,MAXM,612,10,1000
2025-10-01,MAXM,613,5,500
2025-10-01,MAXM,614,31,3100
2025-10-01,MAXM,615,50,5000
2025-10-01,MAXM,616,28,2800
2025-10-01,MAXM,617,9,900
2025-10-01,MAXM,618,56,5600
2025-10-01,MAXM,619,6,600
2025-10-01,MAXM,620,29,2900
2025-10-01,MAXM,621,31,3100
2025-10-01,MAXM,622,8,800
2025-10-01,MAXM,623,41,4100
2025-10-01,MAXM,624,40,4000
2025-10-01,MAXM,625,20,2000
2025-10-01,MAXM,626,48,4800
2025-10-01,MAXM,627,37,3700
2025-10-01,MAXM,628,33,3300
2025-10-01,MAXM,629,41,4100
2025-10-01,MAXM,630,20,2000
2025-10-01,MAXM,631,21,2100
2025-10-01,MAXM,632,48,4800
2025-10-01,MAXM,633,62,6200
2025-10-01,MAXM,634,16,1600
2025-10-01,MAXM,635,47,4700
2025-10-01,MAXM,636,19,1900
2025-10-01,MAXM,637,24,2400
2025-10-01,MAXM,638,28,2800
2025-10-01,MAXM,639,28,2800
2025-10-01,MAXM,640,23,2300
2025-10-01,MAXM,641,37,3700
2025-10-01,MAXM,642,68,6800
2025-10-01,MAXM,643,25,2500
2025-10-01,MAXM,644,3,300
2025-10-01,MAXM,645,14,1400
2025-10-01,MAXM,646,24,2400
