firm,n_fills,tickers,pnl_1ms_total,pnl_1ms_mean,pnl_10ms_total,pnl_10ms_mean,pnl_50ms_total,pnl_50ms_mean,pnl_100ms_total,pnl_100ms_mean,pnl_250ms_total,pnl_250ms_mean,pnl_500ms_total,pnl_500ms_mean,pnl_1s_total,pnl_1s_mean,pnl_2s_total,pnl_2s_mean,pnl_5s_total,pnl_5s_mean,pnl_10s_total,pnl_10s_mean,pnl_30s_total,pnl_30s_mean,pnl_1min_total,pnl_1min_mean,pnl_5min_total,pnl_5min_mean,pnl_30min_total,pnl_30min_mean
STFL,23,TALO,-13.63,-0.5926,-26.72,-1.1617,-26.72,-1.1617,-26.72,-1.1617,-26.72,-1.1617,-26.72,-1.1617,-26.72,-1.1617,-18.72,-0.8139,-18.72,-0.8139,-22.83,-0.9926,-51.03,-2.2187,-117.03,-5.0883,-173.41,-7.5396,-102.6,-4.4609
UBSS,151,"AVAV,KTOS",4431.46,29.3474,4439.46,29.4004,4313.67,28.5674,4173.99,27.6424,3863.43,25.5856,3999.16,26.4845,3602.12,23.8551,3509.4,23.2411,3058.69,20.2562,2622.72,17.369,2536.35,16.7971,2923.21,19.359,4456.74,29.5149,7405.78,49.0449
