,precision,recall,f1-score,support
0,0.9906466043106954,0.9899085675584152,0.9902774484230495,14765.0
1,0.976,0.970490120605594,0.9732372619660319,7794.0
2,0.9909529553679132,0.9951544518473653,0.9930492595950439,1651.0
3,0.30120481927710846,0.9259259259259259,0.45454545454545453,27.0
4,0.9917545541706616,0.9909944433799579,0.9913743530764807,10438.0
accuracy,0.9860706560922855,0.9860706560922855,0.9860706560922855,0.9860706560922855
macro avg,0.8501117866252758,0.9744947018634518,0.8804967555212121,34675.0
weighted avg,0.9871657104113537,0.9860706560922855,0.9864922941025532,34675.0
